#TEXT/SIMPLE
# elo ehi spectrum
5.0000000000000e-01 5.1000000000000e-01 5.0086786419109e-07
5.1000000000000e-01 5.2000000000000e-01 5.4024120216567e-07
5.2000000000000e-01 5.3000000000000e-01 5.7833103702721e-07
5.3000000000000e-01 5.4000000000000e-01 3.2318671392490e-07
5.4000000000000e-01 5.5000000000000e-01 1.8376501630886e-07
5.5000000000000e-01 5.6000000000000e-01 2.0219436097207e-07
5.6000000000000e-01 5.7000000000000e-01 2.2090766373899e-07
5.7000000000000e-01 5.8000000000000e-01 2.3978230232432e-07
5.8000000000000e-01 5.9000000000000e-01 2.5840365388956e-07
5.9000000000000e-01 6.0000000000000e-01 2.7692591101510e-07
6.0000000000000e-01 6.1000000000000e-01 2.9558892430322e-07
6.1000000000000e-01 6.2000000000000e-01 3.1399036109569e-07
6.2000000000000e-01 6.3000000000000e-01 3.3204491194018e-07
6.3000000000000e-01 6.4000000000000e-01 3.4967646205671e-07
6.4000000000000e-01 6.5000000000000e-01 3.6681797521293e-07
6.5000000000000e-01 6.6000000000000e-01 3.8341199098454e-07
6.6000000000000e-01 6.7000000000000e-01 3.9940948058310e-07
6.7000000000000e-01 6.8000000000000e-01 4.1477036168175e-07
6.8000000000000e-01 6.9000000000000e-01 4.2946202157631e-07
6.9000000000000e-01 7.0000000000000e-01 4.4345965588617e-07
7.0000000000000e-01 7.1000000000000e-01 4.5668968012157e-07
7.1000000000000e-01 7.2000000000000e-01 4.6919353519990e-07
7.2000000000000e-01 7.3000000000000e-01 4.4046683319343e-07
7.3000000000000e-01 7.4000000000000e-01 4.1354584374048e-07
7.4000000000000e-01 7.5000000000000e-01 4.2410377452497e-07
7.5000000000000e-01 7.6000000000000e-01 4.3409125304021e-07
7.6000000000000e-01 7.7000000000000e-01 4.4350606249282e-07
7.7000000000000e-01 7.8000000000000e-01 4.5234982208004e-07
7.8000000000000e-01 7.9000000000000e-01 4.6062621704555e-07
7.9000000000000e-01 8.0000000000000e-01 4.6827387671179e-07
8.0000000000000e-01 8.1000000000000e-01 4.7536915569667e-07
8.1000000000000e-01 8.2000000000000e-01 4.8199271135347e-07
8.2000000000000e-01 8.3000000000000e-01 4.8808678945459e-07
8.3000000000000e-01 8.4000000000000e-01 4.9366468736974e-07
8.4000000000000e-01 8.5000000000000e-01 4.9874097695185e-07
8.5000000000000e-01 8.6000000000000e-01 4.9803592739940e-07
8.6000000000000e-01 8.7000000000000e-01 4.9691719372230e-07
8.7000000000000e-01 8.8000000000000e-01 4.7292216772845e-07
8.8000000000000e-01 8.9000000000000e-01 4.5024275410867e-07
8.9000000000000e-01 9.0000000000000e-01 4.5397742333561e-07
9.0000000000000e-01 9.1000000000000e-01 4.5734444000251e-07
9.1000000000000e-01 9.2000000000000e-01 4.6035551851863e-07
9.2000000000000e-01 9.3000000000000e-01 4.6302320340122e-07
9.3000000000000e-01 9.4000000000000e-01 4.6535193432264e-07
9.4000000000000e-01 9.5000000000000e-01 4.6736241670484e-07
9.5000000000000e-01 9.6000000000000e-01 4.6907557982794e-07
9.6000000000000e-01 9.7000000000000e-01 4.7049565048606e-07
9.7000000000000e-01 9.8000000000000e-01 4.7163519000806e-07
9.8000000000000e-01 9.9000000000000e-01 4.7250657320083e-07
9.9000000000000e-01 1.0 4.7312192197554e-07
1.0 1.010000000000 4.7349319703788e-07
1.010000000000 1.020000000000 4.7363195631688e-07
1.020000000000 1.030000000000 4.7338700961086e-07
1.030000000000 1.040000000000 4.7293489881540e-07
1.040000000000 1.050000000000 4.7244882302119e-07
1.050000000000 1.060000000000 4.7177430067300e-07
1.060000000000 1.070000000000 4.7092161691779e-07
1.070000000000 1.080000000000 4.6955959785219e-07
1.080000000000 1.090000000000 4.6804635317630e-07
1.090000000000 1.100000000000 4.6672984313646e-07
1.100000000000 1.110000000000 4.6527257664595e-07
1.110000000000 1.120000000000 4.6368285352804e-07
1.120000000000 1.130000000000 4.6196881430210e-07
1.130000000000 1.140000000000 4.6013844195511e-07
1.140000000000 1.150000000000 4.5819909792613e-07
1.150000000000 1.160000000000 4.5615802121243e-07
1.160000000000 1.170000000000 4.5402210331143e-07
1.170000000000 1.180000000000 4.5179790716067e-07
1.180000000000 1.190000000000 4.4949168491218e-07
1.190000000000 1.200000000000 4.4710952331986e-07
1.200000000000 1.210000000000 4.4465709585289e-07
1.210000000000 1.220000000000 4.4213985414307e-07
1.220000000000 1.230000000000 4.3956299767061e-07
1.230000000000 1.240000000000 4.3693144669071e-07
1.240000000000 1.250000000000 4.3424993701339e-07
1.250000000000 1.260000000000 4.3152291143542e-07
1.260000000000 1.270000000000 4.2875465197945e-07
1.270000000000 1.280000000000 4.2594913571573e-07
1.280000000000 1.290000000000 4.2311016478527e-07
1.290000000000 1.300000000000 4.2024141187304e-07
1.300000000000 1.310000000000 4.1734631721696e-07
